Work,Era_Name
The Art of War,Pre-Socratic
Analects,Pre-Socratic
Tao Te Ching,Pre-Socratic
Mencius,Pre-Socratic
Gongsun Long,Pre-Socratic
Parmenides,Post-Socratic
Timaeus,Post-Socratic
The Republic,Post-Socratic
Theatetus,Post-Socratic
Phaedo,Post-Socratic
Metaphysics,Post-Socratic
Nicomachean Ethics,Post-Socratic
Politics,Post-Socratic
Organon,Post-Socratic
On the Soul,Post-Socratic
On Nature,Post-Socratic
On the Nature of Things,Post-Socratic
Enchiridion,Post-Socratic
Discourses,Post-Socratic
Meditations,Post-Socratic
Letters from a Stoic,Post-Socratic
Outlines of Pyrrhonianism,Post-Socratic
Isagoge,Post-Socratic
On the Laws,Post-Socratic
Samkhyakarika,Post-Socratic
Nyaya Sutras,Post-Socratic
Upadesasahasri,Post-Socratic
The City of God,Post-Socratic
The Consolation of Philosophy,Medieval
The Enneads,Post-Socratic
The Book of Healing,Medieval
The Incoherence of the Incoherence,Medieval
The Guide for the Perplexed,Medieval
The Book of Beliefs and Opinions,Medieval
Proslogion,Medieval
Dialectica,Medieval
The Metaphysics of Light,Medieval
Summa Theologica,Medieval
Ordinatio,Medieval
Opus Majus,Medieval
Sum of Logic,Medieval
The Book of Five Rings ,Modern
In Praise of Folly,Modern
The Prince,Modern
Discourses on Livy,Modern
Novum Organum,Modern
Meditations on First Philosophy,Modern
Discourse on the Method,Modern
Leviathan,Modern
An Essay Concerning Human Understanding,Modern
Two Treatises of Government,Modern
Discourse on Metaphysics,Modern
Monadology,Modern
New Essays on Human Understanding,Modern
A Treatise Concerning the Principles of Human Knowledge,Modern
Ethics,Modern
A Treatise on Human Nature,Modern
An Enquiry Concerning the Principles of Morals,Modern
An Enquiry Concerning Human Understanding,Modern
Four Dissertation: No.4.Of the Standard of Taste,Modern
Man a Machine,Modern
The Spirit of the Laws,Modern
Theory of Moral Sentiments,Modern
Discourse on the Origin of Inequality,Modern
Inquiry into the Human Mind on the Principles of Common Sense,Modern
Essays on the Intellectual Powers of Man,Modern
Prolegomena to Any Future Metaphysics,Modern
Critique of Pure Reason,Modern
Critique of Practical Reason,Modern
Critique of Judgement,Modern
Reflections on the Revolution on France,Modern
Rights of Man,Modern
A Vindication of the Rights of Women,Modern
Foundations of the Science of Knowledge,Modern
An Introduction to the Principles of Morals and Legislation,Modern
Phenomenology of Spirit,Modern
Science of Logic,Modern
The Philosophy of Right,Modern
Course of Positive Philosophy: Book 6-Social Physics,Modern
The World as Will and Representation Book 1/2,Modern
The World as Will and Representation Book 3/4,Modern
Fear and Trembling,Modern
Either/Or,Modern
Das Kapital,Modern
On Liberty,Modern
Utilitarianism,Modern
The Subjugation of Women,Modern
Thus Spoke Zarathustra,Modern
Beyond Good and Evil,Modern
On the Genealogy of Morals,Modern
On Sense and Reference,Modern
Begriffsschrift,Modern
The Problems of Philosophy,Contemporary
Tractatus Logico-Philosophicus,Contemporary
Philosophical Investigations,Contemporary
The Philosophy of Logical Atomism,Contemporary
Principia Mathematica,Contemporary
The Idea of Phenomenology,Contemporary
Logical Investigations,Contemporary
Being and Time,Contemporary
The Myth of Sisyphus,Contemporary
Of Grammatology,Contemporary
Being and Nothingness,Contemporary
Negative Dialectics,Contemporary
Aesthetic Theory,Contemporary
The Second Sex,Contemporary
The Order of Things,Contemporary
Philosophy and the Mirror of Nature,Contemporary
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Contemporary
Two Dogmas of Empiricism,Contemporary
Naming and Necessity,Contemporary
Natural Law and Natural Rights,Contemporary
The Concept of Law,Contemporary