Work,Prerequisite
The Art of War,N/A
Analects,N/A
Tao Te Ching,N/A
Mencius,N/A
Gongsun Long,N/A
Parmenides,N/A
Timaeus,N/A
The Republic,N/A
Theatetus,N/A
Phaedo,N/A
Metaphysics,N/A
Nicomachean Ethics,N/A
Politics,N/A
Organon,N/A
On the Soul,N/A
On Nature,N/A
On the Nature of Things,N/A
Enchiridion,N/A
Discourses,Enchiridion - Epictetus
Meditations,N/A
Letters from a Stoic,N/A
Outlines of Pyrrhonianism,N/A
Isagoge,N/A
On the Laws,N/A
Samkhyakarika,N/A
Nyaya Sutras,N/A
Upadesasahasri,N/A
The City of God,Phaedo - Plato
The Consolation of Philosophy,Phaedo - Plato
The Enneads,Parmenides - Plato
The Book of Healing,Metaphysics - Aristotle
The Incoherence of the Incoherence,Metaphysics - Aristotle
The Guide for the Perplexed,Metaphysics - Aristotle
The Book of Beliefs and Opinions,Metaphysics - Aristotle
Proslogion,N/A
Dialectica,Organon - Aristotle
The Metaphysics of Light,Metaphysics - Aristotle
Summa Theologica,Metaphysics - Aristotle
Ordinatio,Metaphysics - Aristotle
Opus Majus,Nicomachean Ethics - Aristotle
Sum of Logic,Organon - Aristotle
The Book of Five Rings ,N/A
In Praise of Folly,N/A
The Prince,N/A
Discourses on Livy,Politics - Aristotle
Novum Organum,N/A
Meditations on First Philosophy,N/A
Discourse on the Method,N/A
Leviathan,N/A
An Essay Concerning Human Understanding,Parmenides - Plato
Two Treatises of Government,N/A
Discourse on Metaphysics,Phaedo - Plato
Monadology,N/A
New Essays on Human Understanding,An Essay Concerning Human Understanding - Locke
A Treatise Concerning the Principles of Human Knowledge,An Essay Concerning Human Understanding - Locke
Ethics,On the Soul - Aristotle
A Treatise on Human Nature,On the Soul - Aristotle
An Enquiry Concerning the Principles of Morals,N/A
An Enquiry Concerning Human Understanding,N/A
Four Dissertation: No.4.Of the Standard of Taste,N/A
Man a Machine,Meditations on First Philosophy - Descartes
The Spirit of the Laws,Two Treatises of Government - Locke
Theory of Moral Sentiments,N/A
Discourse on the Origin of Inequality,N/A
Inquiry into the Human Mind on the Principles of Common Sense,An Enquiry Concerning Human Understanding - Hume
Essays on the Intellectual Powers of Man,On the Soul - Aristotle
Prolegomena to Any Future Metaphysics,The Problems of Philosophy - Russel
Critique of Pure Reason,Prolegomena to Any Future Metaphysics - Kant
Critique of Practical Reason,Prolegomena to Any Future Metaphysics - Kant
Critique of Judgement,Prolegomena to Any Future Metaphysics - Kant
Reflections on the Revolution on France,N/A
Rights of Man,N/A
A Vindication of the Rights of Women,N/A
Foundations of the Science of Knowledge,Meditations on First Philosophy
An Introduction to the Principles of Morals and Legislation,N/A
Phenomenology of Spirit,Prolegomena to Any Future Metaphysics - Kant
Science of Logic,Prolegomena to Any Future Metaphysics - Kant
The Philosophy of Right,On the Laws - Cicero
Course of Positive Philosophy: Book 6-Social Physics,N/A
The World as Will and Representation Book 1/2,Prolegomena to Any Future Metaphysics - Kant
The World as Will and Representation Book 3/4,Prolegomena to Any Future Metaphysics - Kant
Fear and Trembling,N/A
Either/Or,N/A
Das Kapital,Prolegomena to Any Future Metaphysics - Kant
On Liberty,On the Laws - Cicero
Utilitarianism,N/A
The Subjugation of Women,N/A
Thus Spoke Zarathustra,N/A
Beyond Good and Evil,Phaedo - Plato
On the Genealogy of Morals,Phaedo - Plato
On Sense and Reference,N/A
Begriffsschrift,N/A
The Problems of Philosophy,N/A
Tractatus Logico-Philosophicus,On Sense and Reference - Frege
Philosophical Investigations,On Sense and Reference - Frege
The Philosophy of Logical Atomism,N/A
Principia Mathematica,N/A
The Idea of Phenomenology,N/A
Logical Investigations,The Idea of Phenomenology - Husserl
Being and Time,Critique of Pure Reason - Kant
The Myth of Sisyphus,N/A
Of Grammatology,Being and Time - Heidegger
Being and Nothingness,N/A
Negative Dialectics,Phenomenology of Spirit - Hegel
Aesthetic Theory,N/A
The Second Sex,N/A
The Order of Things,The Problems of Philsoohpy - Russel
Philosophy and the Mirror of Nature,N/A
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,N/A
Two Dogmas of Empiricism,N/A
Naming and Necessity,On Sense and Reference - Frege
Natural Law and Natural Rights,N/A
The Concept of Law,N/A